item,title,genres,ratings
103,Pediatric nursing,Health Care,1
104,Perianesthesia nursing,Health Care,1
105,Perioperative nursing,Health Care,1
106,Psychiatric nursing,Health Care,1
107,Private duty nursing,Health Care,1
108,Public health nursing,Health Care,1
109,Pulmonary nursing,Health Care,1
110,Quality improvement,Health Care,1
111,Radiology nursing,Health Care,1
112,Rehabilitation nursing,Health Care,1
113,Research nursing,Health Care,1
114,Renal nursing,Health Care,1
115,School nursing,Health Care,1
116,Space nursing,Health Care,1
117,Sub-acute nursing,Health Care,1
118,Substance abuse nursing,Health Care,1
119,Surgical nursing,Health Care,1
120,Telenursing,Health Care,1
121,Telephone triage nursing,Health Care,1
122,Transplantation nursing,Health Care,1
123,Travel nursing,Health Care,1
124,Urology nursing,Health Care,1
125,Utilization management,Health Care,1
126,Vascular Access,Health Care,1
127,Wound care,Health Care,1
128,Chaplain,Health Care,1
129,Licensed behavior analyst,Health Care,1
130,Licensed professional counselor,Health Care,1
131,Mental health professional,Health Care,1
132,Occupational therapist,Health Care,1
133,Psychiatric nurse,Health Care,1
134,Psychiatrist,Health Care,1
135,Experimental Psychologist,Health Care,1
136,Psychologist,Health Care,1
137,Psychotherapist,Health Care,1
138,School counselor,Health Care,1
139,Sex therapist,Health Care,1
140,Social worker,Health Care,1
141,Accessory designer,Art,1
142,Advertising designer,Art,1
143,Animator,Art,1
144,Architect,Art,1
145,Art administrator,Art,1
146,Artisan,Art,1
147,Arts administration,Art,1
148,Baker,Art,1
149,Ceramics artist,Art,1
150,Chief creative officer,Art,1
151,Colorist,Art,1
152,Concept Artist,Art,1
153,Curator,Art,1
154,Dancer,Art,1
155,Design director,Art,1
156,Design strategist,Art,1
157,Essayist,Art,1
158,Event planner,Art,1
159,Fashion designer,Art,1
160,Fine artist,Art,1
161,Floral designer,Art,1
162,Graphic designer,Art,1
163,Hairstylist,Art,1
164,Illustrator,Art,1
165,Tattoo artist,Art,1
166,Interior designer,Art,1
167,Jewellery designer,Art,1
168,Lyricist,Art,1
169,Make-up artist,Art,1
170,Marine designer,Art,1
171,Media designer,Art,1
172,Music,Art,1
173,Party planner,Art,1
174,Penciller,Art,1
175,Photographer,Art,1
176,Photojournalist,Art,1
177,Potter,Art,1
178,Production designer,Art,1
179,Sculptor,Art,1
180,Set decorator,Art,1
181,Set dresser,Art,1
182,Singer,Art,1
183,Web designer,Art,1
184,Wedding planner,Art,1
185,Writer,Art,1
186,Ballet dancer,Art/Dancer,1
187,Ballet historian,Art/Dancer,1
188,Ballet master,Art/Dancer,1
189,Choreographer,Art/Dancer,1
190,Dance critic,Art/Dancer,1
191,Dance historian,Art/Dancer,1
192,Dance notator,Art/Dancer,1
193,Dance scholar,Art/Dancer,1
194,Dance therapist,Art/Dancer,1
195,Actor,Entretainer,1
196,Archimime,Entretainer,1
197,Barker (occupation),Entretainer,1
198,Beatboxer,Entretainer,1
199,Benshi,Entretainer,1
200,Bouffon,Entretainer,1
201,Circus arts,Entretainer,1
202,Clown,Entretainer,1
203,Comedian,Entretainer,1
204,Dancer,Entretainer,1
205,Drag Queen,Entretainer,1
206,Drag King,Entretainer,1
207,Emcee,Entretainer,1
208,Filmmaker,Entretainer,1
209,Flag throwing,Entretainer,1
210,Flair bartending,Entretainer,1
211,Flatulist,Entretainer,1
212,Geisha,Entretainer,1
213,Harlequin,Entretainer,1
214,Illusionist,Entretainer,1
215,Impressionist (entertainment),Entretainer,1
216,Itinerant poet,Entretainer,1
217,Kobzar,Entretainer,1
218,Lirnyk,Entretainer,1
219,Magician,Entretainer,1
220,Master of ceremonies,Entretainer,1
221,Mime,Entretainer,1
222,Minstrel,Entretainer,1
223,Monologist,Entretainer,1
224,Musician,Entretainer,1
225,Painter,Entretainer,1
226,Party princess,Entretainer,1
227,Performing arts,Entretainer,1
228,Photographer,Entretainer,1
229,Poet,Entretainer,1
230,Pornographic actor,Entretainer,1
231,Promotional model,Entretainer,1
232,Rhapsode,Entretainer,1
233,Ring girl,Entretainer,1
234,Ringmaster (circus),Entretainer,1
235,Scop,Entretainer,1
236,Shamakhi dancers,Entretainer,1
237,Showgirl,Entretainer,1
238,Showman,Entretainer,1
239,Showrunner,Entretainer,1
240,Singer,Entretainer,1
241,Skomorokh,Entretainer,1
242,Stunt performer,Entretainer,1
243,Theatre practitioner,Entretainer,1
244,Vedette (cabaret),Entretainer,1
245,Writer,Entretainer,1
246,Animator,Film ad TV,1
247,Cartoonist,Film ad TV,1
248,Tweener,Film ad TV,1
249,Director,Film ad TV,1
250,Casting Director,Film ad TV,1
251,Executive Producer,Film ad TV,1
252,Production Manager,Film ad TV,1
253,Screenwriter,Film ad TV,1
254,Stunt Coordinator,Film ad TV,1
255,Costume Designer,Film ad TV,1
256,Lighting Technician,Film ad TV,1
257,Make-up Artist,Film ad TV,1
258,Video Editor,Film ad TV,1
259,Voice Actor,Film ad TV,1
260,Producer,Theater,3
261,Director,Theater,4
262,Playwright,Theater,2
263,Dramaturge,Theater,2
264,Scenic designer,Theater,2
265,Scenographer,Theater,4
266,Lighting designer,Theater,5
267,Costume designer,Theater,2
268,Set designer,Theater,2
269,Sound designer,Theater,2
270,Composer,Theater,2
271,Music director,Theater,3
272,Choreographer,Theater,4
273,Movement director,Theater,5
274,Artistic director,Theater,2
275,Theater manager,Theater,4
281,Director of audience services,Theater,4
282,Director of development,Theater,4
283,Director of special events,Theater,4
284,Dramaturge,Theater,3
285,Literary manager,Theater,3
286,Company manager,Theater,2
287,House manager,Theater,3
296,Spotlight operator,Theater,4
297,Auto mechanic,Industrial,1
298,Beader,Industrial,1
299,Bobbin boy,Industrial,1
300,Arborist,Industrial,1
301,Feller,Industrial,1
302,Filling station attendant,Industrial,1
303,Foreman,Industrial,1
304,Maintenance engineering,Industrial,1
305,Mechanic,Industrial,1
306,Miller,Industrial,1
307,Moldmaker,Industrial,1
308,Panel beater,Industrial,1
309,Patternmaker,Industrial,1
310,Plant operator,Industrial,1
311,Plumber,Industrial,1
312,Welder,Industrial,1
313,Sawfiler,Industrial,1
314,Shop foreman,Industrial,1
315,Soaper,Industrial,1
316,Stationary engineer,Industrial,1
317,Wheelwright,Industrial,1
318,Woodworkers,Industrial,1
319,Bartender,Industrial,1
320,Waiter,Industrial,1
321,Construction worker,Industrial,1
322,Cashier,Industrial,1
323,Factory worker,Industrial,1
324,Steel erector,Industrial / Metal Working,1
325,Welder,Industrial / Metal Working,1
326,Boilermaker,Industrial / Metal Working,1
327,Pipefitter,Industrial / Metal Working,1
328,Millwright,Industrial / Metal Working,1
329,Blacksmith,Industrial / Metal Working,1
330,Gunsmith,Industrial / Metal Working,1
331,Marquetarian,Industrial / Metal Working,1
332,Farrier,Industrial / Metal Working,1
333,Furniture maker,Industrial / Metal Working,1
334,Pewterer,Industrial / Metal Working,1
335,CNC,Industrial / Metal Working,1
336,Jeweler,Industrial / Metal Working,1
337,Smith,Industrial / Metal Working,1
338,Founder,Industrial / Metal Working,1
339,Bookbinder,sewing,1
340,Cordwainer,sewing,1
341,Corsetier,sewing,1
342,Draper,sewing,1
343,Dressmaker,sewing,1
344,Embroiderer,sewing,1
345,Glover,sewing,1
346,Hatter,sewing,1
347,Leatherworker,sewing,1
348,Milliner,sewing,1
349,Parachute rigger,sewing,1
350,Quilter,sewing,1
351,Sailmaker,sewing,1
352,Seamstress,sewing,1
353,Shoemaker,sewing,1
354,Tailor,sewing,1
355,Taxidermist,sewing,1
356,Upholsterer,sewing,1
357,Aeronautical engineer,Applied Science,1
358,Biomedical engineer,Applied Science,1
359,Chemical engineer,Applied Science,1
360,Educational technologist[1],Applied Science,1
361,Electrical engineer,Applied Science,1
362,Engineering technician,Applied Science,1
363,Engineering technologist,Applied Science,1
364,Petrochemical engineer,Applied Science,1
365,Mechanical engineer,Applied Science,1
366,Computational scientist,Formal Science,1
367,Mathematician,Formal Science,1
368,Demographic marketer,Formal Science,1
369,Statistician,Formal Science,1
370,Forensic scientist,General Science,1
371,Gentleman scientist – A financially independent scientist who pursues scientific study as a hobby,General Science,1
372,Government scientist,General Science,1
373,Healthcare science,General Science,1
374,Assistant scientist,General Science,1
385,Medical laboratory scientist,Life science ,1
386,Microbiologist,Life science ,1
387,Neuroscientist,Life science ,1
388,Clinical pharmaceutical scientist,Life science ,1
389,Zoologist,Life science ,1
390,Archaeologist,Natural science,1
391,Astronaut,Natural science,1
392,Astronomer,Natural science,1
393,Biochemist,Natural science,1
394,Chemist,Natural science,1
395,Ecologist[8],Natural science,1
396,Geographer,Natural science,1
397,Naturalist,Natural science,1
398,Oceanographer,Natural science,1
399,Paleontologist,Natural science,1
400,Pathologist,Natural science,1
401,Chemist,Physical science,1
402,Physicist,Physical science,1
403,Geographer,Earth science,1
404,Geologist,Earth science,1
405,Geoprofessions,Earth science,1
406,Petroleum geologist,Earth science,1
407,Urban planner,Social science,1
408,Anthropologist,Social science,1
409,Economist,Social science,1
410,Political scientist,Social science,1
411,Sociologist,Social science,1
412,Historian,Social science,1
413,Chief Experience Officer,Coorporate,1
414,Chief financial officer,Coorporate,1
415,Chief gaming officer,Coorporate,1
416,Chief genealogical officer,Coorporate,1
417,Chief human resources officer,Coorporate,1
418,Chief information officer,Coorporate,1
419,Chief information officer (higher education),Coorporate,1
420,Chief information security officer,Coorporate,1
421,Chief innovation officer,Coorporate,1
422,Chief investment officer,Coorporate,1
423,Chief knowledge officer,Coorporate,1
424,Chief learning officer,Coorporate,1
425,Chief legal officer,Coorporate,1
426,Chief marketing officer,Coorporate,1
427,Chief medical officer,Coorporate,1
428,Chief of staff,Coorporate,1
429,Chief operating officer,Coorporate,1
430,Chief people officer,Coorporate,1
431,Chief privacy officer,Coorporate,1
432,Chief process officer,Coorporate,1
433,Chief product officer,Coorporate,1
434,Chief reputation officer,Coorporate,1
435,Chief research officer,Coorporate,1
436,Chief restructuring officer,Coorporate,1
437,Chief revenue officer,Coorporate,1
438,Chief risk officer,Coorporate,1
439,Chief scientific officer,Coorporate,1
440,Chief security officer,Coorporate,1
441,Chief services officer,Coorporate,1
442,Chief solutions officer,Coorporate,1
443,Chief strategy officer,Coorporate,1
444,Chief supply chain officer,Coorporate,1
445,Chief sustainability officer,Coorporate,1
446,Chief Technological Product Designer,Coorporate,1
447,Chief technology officer,Coorporate,1
448,Chief technical officer,Coorporate,1
449,Chief visibility officer,Coorporate,1
450,Chief visionary officer,Coorporate,1
451,Chief web officer,Coorporate,1
452,Taxicab driver,Driver,1
453,Chauffeur,Driver,1
454,Pay driver,Driver,1
455,Test driver,Driver,1
456,Delivery (commerce),Driver,1
457,Bus driver,Driver,1
458,Truck driver,Driver,1
459,Motorman,Driver,1
